Rule_ID,Rule,Outcome
1,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Young_Adult AND Embarked = Southampton AND Family_Size_Group = Couple THEN Survived = No,No
2,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Young_Adult AND Embarked = Southampton AND Family_Size_Group = Alone THEN Survived = No,No
3,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Young_Adult AND Embarked = Cherbourg AND Sex = male THEN Survived = No,No
4,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Young_Adult AND Embarked = Queenstown THEN Survived = No,No
5,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Adult AND Embarked = Cherbourg AND Sex = male THEN Survived = No,No
6,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Adult AND Embarked = Southampton AND Family_Size_Group = Alone THEN Survived = No,No
7,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Adult AND Embarked = Southampton AND Family_Size_Group = Couple THEN Survived = No,No
8,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Adult AND Embarked = Queenstown AND Family_Size_Group = Alone THEN Survived = No,No
9,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Adult AND Embarked = Queenstown AND Family_Size_Group = Couple THEN Survived = No,No
10,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Middle_Age AND Pclass = Third AND Embarked = Cherbourg THEN Survived = No,No
11,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Middle_Age AND Pclass = Third AND Embarked = Southampton THEN Survived = No,No
12,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Middle_Age AND Pclass = Third AND Embarked = Queenstown THEN Survived = No,No
13,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Middle_Age AND Pclass = Second THEN Survived = No,No
14,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Elderly THEN Survived = No,No
15,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Child THEN Survived = No,No
16,IF Title_Group = Mr AND Fare_Group = Low AND Age_Group = Senior THEN Survived = No,No
17,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Senior AND Embarked = Southampton AND Family_Size_Group = Alone THEN Survived = No,No
18,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Senior AND Embarked = Southampton AND Family_Size_Group = Small_Family THEN Survived = No,No
19,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Senior AND Embarked = Cherbourg THEN Survived = No,No
20,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Adult AND Embarked = Queenstown THEN Survived = No,No
21,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Adult AND Embarked = Southampton AND Family_Size_Group = Alone THEN Survived = No,No
22,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Adult AND Embarked = Southampton AND Family_Size_Group = Small_Family THEN Survived = No,No
23,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Adult AND Embarked = Southampton AND Family_Size_Group = Couple THEN Survived = No,No
24,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Adult AND Embarked = Cherbourg THEN Survived = No,No
25,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Young_Adult AND Family_Size_Group = Alone AND Sex = male THEN Survived = No,No
26,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Young_Adult AND Family_Size_Group = Couple THEN Survived = Yes,Yes
27,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Child AND Family_Size_Group = Alone AND Sex = male THEN Survived = No,No
28,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Child AND Family_Size_Group = Small_Family THEN Survived = No,No
29,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Middle_Age AND Embarked = Southampton AND Family_Size_Group = Alone THEN Survived = No,No
30,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Middle_Age AND Embarked = Southampton AND Family_Size_Group = Small_Family THEN Survived = No,No
31,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Middle_Age AND Embarked = Cherbourg THEN Survived = Yes,Yes
32,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Elderly AND Family_Size_Group = Alone AND Sex = male THEN Survived = No,No
33,IF Title_Group = Mr AND Fare_Group = Medium AND Age_Group = Elderly AND Family_Size_Group = Couple THEN Survived = No,No
34,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = First AND Age_Group = Elderly AND Embarked = Southampton THEN Survived = No,No
35,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = First AND Age_Group = Elderly AND Embarked = Cherbourg THEN Survived = No,No
36,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = First AND Age_Group = Middle_Age AND Family_Size_Group = Alone THEN Survived = No,No
37,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = First AND Age_Group = Middle_Age AND Family_Size_Group = Couple THEN Survived = No,No
38,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = First AND Age_Group = Senior AND Family_Size_Group = Alone THEN Survived = Yes,Yes
39,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = First AND Age_Group = Senior AND Family_Size_Group = Couple THEN Survived = No,No
40,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = First AND Age_Group = Adult THEN Survived = Yes,Yes
41,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = Third THEN Survived = No,No
42,IF Title_Group = Mr AND Fare_Group = Luxury AND Pclass = Second THEN Survived = No,No
43,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Middle_Age AND Embarked = Southampton AND Pclass = Second THEN Survived = No,No
44,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Middle_Age AND Embarked = Southampton AND Pclass = Third THEN Survived = No,No
45,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Middle_Age AND Embarked = Cherbourg AND Pclass = Second THEN Survived = Yes,Yes
46,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Middle_Age AND Embarked = Cherbourg AND Pclass = Third THEN Survived = No,No
47,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Senior AND Pclass = Second AND Embarked = Southampton THEN Survived = No,No
48,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Senior AND Pclass = Second AND Embarked = Cherbourg THEN Survived = No,No
49,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Senior AND Pclass = Third THEN Survived = No,No
50,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Elderly AND Pclass = Second AND Sex = male THEN Survived = No,No
51,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Elderly AND Pclass = Third THEN Survived = No,No
52,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Adult THEN Survived = No,No
53,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Young_Adult THEN Survived = No,No
54,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Child AND Pclass = Third THEN Survived = No,No
55,IF Title_Group = Mr AND Fare_Group = High AND Age_Group = Child AND Pclass = Second AND Sex = male THEN Survived = No,No
56,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Senior THEN Survived = No,No
57,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Adult AND Embarked = Queenstown AND Family_Size_Group = Couple THEN Survived = No,No
58,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Adult AND Embarked = Queenstown AND Family_Size_Group = Small_Family THEN Survived = Yes,Yes
59,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Adult AND Embarked = Queenstown AND Family_Size_Group = Alone THEN Survived = No,No
60,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Adult AND Embarked = Cherbourg AND Family_Size_Group = Small_Family THEN Survived = No,No
61,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Adult AND Embarked = Cherbourg AND Family_Size_Group = Alone THEN Survived = No,No
62,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Adult AND Embarked = Southampton THEN Survived = No,No
63,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Middle_Age AND Pclass = Second AND Family_Size_Group = Couple THEN Survived = No,No
64,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Middle_Age AND Pclass = Second AND Family_Size_Group = Alone THEN Survived = No,No
65,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Middle_Age AND Pclass = Third THEN Survived = No,No
66,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Young_Adult AND Family_Size_Group = Alone THEN Survived = No,No
67,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Young_Adult AND Family_Size_Group = Small_Family AND Embarked = Southampton THEN Survived = No,No
68,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Young_Adult AND Family_Size_Group = Small_Family AND Embarked = Cherbourg THEN Survived = Yes,Yes
69,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Young_Adult AND Family_Size_Group = Couple THEN Survived = No,No
70,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Elderly THEN Survived = No,No
71,IF Title_Group = Mr AND Fare_Group = Very_High AND Age_Group = Child THEN Survived = No,No
72,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Child AND Family_Size_Group = Medium_Family THEN Survived = No,No
73,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Child AND Family_Size_Group = Alone THEN Survived = No,No
74,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Child AND Family_Size_Group = Couple THEN Survived = No,No
75,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Child AND Family_Size_Group = Small_Family THEN Survived = Yes,Yes
76,IF Title_Group = Mr AND Fare_Group = Super_Luxury AND Age_Group = Middle_Age AND Family_Size_Group = Couple AND Embarked = Cherbourg THEN Survived = No,No
